`2022`; [Training & deploying deep learning applications at scale](https://cedric.cnam.fr/lab/confs/mdd2022/programme/); CNRS 'Masses de données distribuées' Summer School (MDD'22); France
`2018`; [Data Processing and Querying at Scale using Big Data Analytics Stacks](http://www.isum2018.udg.mx/evento/taller-3-data-processing-and-querying-scale-using-big-data-analytics-stacks); Int. Supercomputing Conference in Mexico (ISUM'18); Mexico
`2018`; [Big Data Visualization](https://espinosa-oviedo.com/big-data-visualization); Barcelona Supercomputing Centre;  Spain
`2017`; [Visualizing Big Urban Data](https://github.com/javieraespinosa/dxlab-smart-cities); 2nd French-Brazilian Summer School on Big Data & Smart Cities, IFRN;  Brazil
